ID,Module,pre/post,Term#,prepost#,Term,Gender#,FirstGen#,FinancialAid#,Race#,International,Application,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,interest,aspirations,beliefs,selfefficacy
1,ANTH6,pre,4,1,Fall 2022,1,2,2,2,2,2019,4,5,5,5,5,5,3,5,5,5,5,2,5,3,5,5,4,4,5,4,4,4,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,5,4,4,5,4,4,5,5,4,5,4
1,ANTH6,post,4,2,Fall 2022,1,2,2,2,2,2019,5,5,5,5,5,5,5,5,3,4,5,4,4,4,5,4,5,4,5,4,5,5,5,4,3,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,3,4,4,5,4,4,5,5,5,4,4,5,5,4,5,4
2,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2018,5,5,4,2,3,5,3,5,4,5,4,2,3,3,5,3,3,4,4,4,4,4,4,4,5,2,5,5,5,4,5,3,5,5,5,4,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,4,5,5
2,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2018,5,5,5,3,4,5,5,5,4,5,5,3,5,3,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5
3,ANTH6,pre,4,1,Fall 2022,1,2,2,4,2,2019,4,5,5,3,5,5,5,5,4,5,5,1,4,2,5,4,4,3,4,3,5,5,4,5,4,1,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,3,4,4,3,5,4,4,4,5,4,3,5,5,4,5,4
3,ANTH6,post,4,2,Fall 2022,1,2,2,4,2,2019,4,4,4,3,4,4,4,4,3,5,4,1,4,2,5,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,5
4,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2019,4,5,4,2,4,5,3,5,3,4,3,3,4,2,5,5,4,5,4,1,2,4,4,5,4,2,5,4,5,5,5,4,4,4,5,5,3,4,4,4,4,4,2,3,4,3,4,4,4,3,4,2,3,4,4,4,4
4,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2019,4,5,4,3,5,5,4,4,3,4,3,2,5,3,4,5,5,4,5,4,5,4,4,4,4,2,5,4,5,5,5,3,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,4
5,ANTH6,pre,4,1,Fall 2022,2,1,1,4,2,2019,1,3,4,2,2,3,2,4,1,1,1,1,4,1,5,4,4,1,4,3,4,4,5,5,4,1,2,5,4,4,3,2,5,4,5,2,4,4,5,2,2,4,4,2,4,2,4,4,4,4,2,2,2,2,4,4,3
5,ANTH6,post,4,2,Fall 2022,2,1,1,4,2,2019,3,4,4,3,3,4,3,3,3,4,3,2,4,3,5,5,4,3,5,4,5,4,5,5,4,3,2,4,5,5,5,2,5,5,5,4,4,5,5,4,3,4,5,4,4,4,5,4,5,4,4,3,3,3,4,5,4
6,ANTH6,pre,4,1,Fall 2022,2,2,1,2,2,2019,4,5,4,4,4,5,4,5,4,5,4,3,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4
6,ANTH6,post,4,2,Fall 2022,2,2,1,2,2,2019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
7,ANTH6,pre,4,1,Fall 2022,1,2,1,7,2,2019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,ANTH6,post,4,2,Fall 2022,1,2,1,7,2,2019,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,ANTH6,pre,4,1,Fall 2022,1,2,1,7,1,2019,3,4,3,3,3,3,3,4,3,3,3,2,3,3,4,2,3,4,3,3,3,4,4,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,3,3,3,3,4,3,4,3,3,3,5,3
8,ANTH6,post,4,2,Fall 2022,1,2,1,7,1,2019,4,5,4,4,3,4,4,4,3,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,3,3,4,3,3,3,4,3,4,4,3,3,3,4,4,4,3
