Questions,Code_MK,Category_MK,Code_SP,Category_SP,.
"Have you ever incorporated data science into your courses? If so, how long have been doing that? If not, what has kept you from it?",No/NA/Not yet,No/NA/Not yet,No/NA/Not yet,No/NA/Not yet,.
,"Limited experiences of instructors incorporating data science into courses
Uncertainty of instructor to plan the data science content in the course
Inadequacy of students’ data science background","Professional inadequacy of instructors in incorporating data science into courses
Inadequacy of student knowledge and experiences in data science","Limited experiences of instructors incorporating data science into courses
Uncertainty of instructor to plan the data science content in the course
Inadequacy of students’ data science background","Professional inadequacy of instructors in incorporating data science into courses
Inadequacy of student knowledge and experiences in data science",.
,Limited experiences of instructors incorporating data science into courses,Professional inadequacy of instructors incorporating data science into courses,Limited experiences of instructors incorporating data science into courses,Professional inadequacy of instructors incorporating data science into courses.,.
,"Being experienced in incorporating data science into courses
Incorporating data science using various tools for only advanced students",Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional adequacy of instructors incorporating data science into courses,.
,"No/NA/Not yet
",No/NA/Not yet,No/NA/Not yet,Professional inadequacy of instructors incorporating data science into courses.,.
,No/NA/Not yet,No/NA/Not yet,No/NA/Not yet,No/Na/Not yet,.
,Being experienced in incorporating data science into courses,Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional adequacy of instructors incorporating data science into courses,.
,Uncertainty of instructor to plan the data science content in the course,Professional inadequacy of instructors incorporating data science into courses,Uncertainty of instructor to plan the data science content in the course,Professional inadequacy of instructors incorporating data science into courses,.
,"Limited experiences of instructors incorporating data science into courses
Limited resources","Inadequacy of instructional resources
Professional inadequacy of instructors incorporating data science into courses","Limited experiences of instructors incorporating data science into courses
Limited resources","Inadequacy of instructional resources
Professional inadequacy of instructors incorporating data science into courses",.
,Being experienced in incorporating data science into courses,Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional adequacy of instructors incorporating data science into courses,.
,Being experienced in incorporating data science into courses,Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional adequacy of instructors incorporating data science into courses,.
,No/NA/Not yet,No/NA/Not yet,No/NA/Not yet,No/Na/Not yet,.
,Being experienced in incorporating data science into courses,Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional adequacy of instructors incorporating data science into courses,.
,Limited experiences of instructors incorporating data science into courses,Professional inadequacy of instructors incorporating data science into courses.,Limited experiences of instructors incorporating data science into courses,Professional inadequacy of instructors incorporating data science into courses.,.
,No/NA/Not yet,No/NA/Not yet,No/NA/Not yet,No/Na/Not yet,.
,Being experienced in incorporating data science into courses,Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional adequacy of instructors incorporating data science into courses,.
,No/NA/Not yet,No/Na/Not yet,No/NA/Not yet,No/Na/Not yet,.
,No/NA/Not yet,No/NA/Not yet,No/NA/Not yet,Professional inadequacy of instructors incorporating data science into courses.,.
,Being experienced in incorporating data science into courses,Professional adequacy of instructors in incorporating data science into courses,Being experienced in incorporating data science into courses,Professional Adequacy of instructors incorporating data science into courses,.
What do you hope to gain from the workshop?,Learning effective ways to incorporate data science into the courses,Learning about the instructional methods and resources for data science,Learning effective ways to incorporate data science into courses,Learning about the instructional methods and resources for data science,.
,"Learning effective ways to incorporate data science into courses
Learning about instructors' potential challenges when incorporating data science",Learning about the instructional methods and resources for data science,"Learning effective ways to incorporate data science into courses, Learning about instructors' potential challenges when incorporating data science",Learning about the instructional methods and resources for data science,.
,Learning effective ways to incorporate data science into the courses,Learning about the instructional methods and resources for data science,Learning effective ways to incorporate data science into the courses,Learning about the instructional methods and resources for data science,.
,"Learning about the instructional engaging materials for incorporating data science
Learning effective ways to incorporate data science into courses","Learning about the instructional methods and resources for data science
","Learning about the instructional engaging materials for incorporating data science
Learning effective ways to incorporate data science into courses","Learning about the instructional methods and resources for data science
",.
,"Learning how to incorporate the data science
Gaining depth of knowledge in data science",Learning about the instructional methods and resources for data science,"Learning how to incorporate the data science
Gaining depth of knowledge in data science","Learning about the instructional methods and resources for data science
Improving procedural and conceptual knowledge of data science",.
,Gaining depth in knowledge of data science, Improving procedural and conceptual knowledge of data science,Gaining depth of knowledge in data science,Improving procedural and conceptual knowledge of data science,.
,Learning effective ways to incorporate data science into the courses,Learning about the instructional methods and resources for data science,Learning effective ways to incorporate data science into courses,Learning the instructional methods and resources for data science,.
,Learning how to incorporate the data science ,Learning about the instructional methods and resources for data science,Learning effective ways to incorporate data science into courses,Learning the instructional methods and resources for data science,.
,Learning how to incorporate the data science ,Learning about the instructional methods and resources for data science,Learning how to incorporate data science,Learning about the instructional methods and resources for data science,.
,Improving the skillset in incorporating data science ,Learning about the instructional methods and resources for data science,Improving skillsets for incorporating data science,Learning about the instructional methods and resources for data science,.
,Learning about the instructional engaging materials for incorporating data science,Learning about the instructional methods and resources for data science,Learning about the instructional engaging materials for incorporating data science,Learning the instructional methods and resources for data science,.
,"Gaining depth of knowledge in data science
Learning about the instructional engaging materials for incorporating data science",Learning about the instructional methods and resources for data science,"Gaining depth of knowledge in data science
Learning about the instructional engaging materials for incorporating data science",Learning about the instructional methods and resources for data science,.
,Learning how to incorporate data science,Learning about the instructional methods and resources for data science,Learning how to incorporate data science,Learning the instructional methods and resources for data science,.
,"Learning effective ways to incorporate data science into courses
Gaining depth of knowledge in data science","Learning the instructional methods and resources for data science
Improving procedural and conceptual knowledge of data science","Learning effective ways to incorporate data science into courses
Gaining depth of knowledge in data science","Learning the instructional methods and resources for data science
Improving procedural and conceptual knowledge of data science",.
,Learning about the instructional engaging materials for incorporating data science,Learning about the instructional methods and resources for data science,Learning about the instructional engaging materials for incorporating data science,Learning about the instructional methods and resources for data science,.
